,ticker,year,Выручка,Операционная прибыль,EBITDA,Чистая прибыль,Опер.денежный поток,CAPEX,FCF,"Див доход, ао",Дивиденды/прибыль,Опер. расходы,Себестоимость,Амортизация,Расх на персонал,Процентные расходы,Активы,Чистые активы,Долг,Чистый долг,Цена акции ао,Число акций ао,Капитализация,EV,Баланс стоимость,EPS,FCF/акцию,BV/акцию,Рентаб EBITDA,Чистая рентаб,Доходность FCF,ROE,ROA,P/E,P/FCF,P/S,P/BV,EV/EBITDA,Долг/EBITDA,R&D/CAPEX,CAPEX/Выручка,total_price,total_price_target,revenue,total_price_momentum,momentum
214,KROT,2021,15.8,-1.15,-0.82,-0.21,-0.99,0.124,-1.14,0.0,0.0,2.02,14.9,0.3,2.5,,13.2,9.97,0.0,-0.26,390.5,9.22,4.03,3.77,9.96,-22.8,-123.7,1080.0,-5.2,-1.3,-31.7,-2.1,-1.6,-19.2,-3.53,0.26,0.4,-4.59,0.32,0.0,1.0,390.5,504.5,0.25613987051392306,370.5,0.05257452454359914
215,KROT,2022,18.2,1.56,1.68,0.57,0.53,0.07,-0.194,0.0,318.0,0.915,15.7,0.1,2.33,,16.8,10.5,0.0,-0.07,504.5,9.22,5.21,5.15,10.5,61.8,-21.0,1141.0,9.2,3.1,-4.2,5.4,3.4,9.15,-26.9,0.29,0.5,3.07,-0.04,0.0,0.0,504.5,2398.0,1.558822495793796,390.5,0.25613987051392306
216,KROT,2023,21.4,1.94,2.05,1.77,1.55,0.112,1.53,0.0,199.0,1.02,18.2,0.1,2.87,,19.0,14.2,0.0,-0.15,2398.0,9.22,23.2,23.0,14.2,191.5,166.3,1541.0,9.6,8.2,6.9,12.4,9.3,13.1,15.1,1.08,1.63,11.2,-0.07,0.0,1.0,2398.0,1533.0,-0.4474084567156454,504.5,1.558822495793796
217,MAGN,2022,699.8,109.9,155.1,70.2,142.7,79.5,72.5,0.0,0.0,60.7,527.2,43.6,62.1,2.66,737.8,535.4,73.3,-70.9,33.0,11174.0,368.3,297.4,532.8,6.28,6.49,47.7,22.2,10.0,19.7,13.1,9.5,5.25,5.08,0.53,0.69,1.92,-0.46,0.0,11.0,33.0,54.9666,0.5102181665739512,77.49249999999999,-0.8536735960163483
218,MAGN,2023,763.4,146.2,195.6,118.2,114.9,94.9,30.8,5.3,26.0,74.3,543.4,48.4,69.7,2.88,902.0,662.0,70.3,-91.5,52.2,11174.0,582.7,491.3,658.2,10.6,2.75,58.9,25.6,15.5,5.3,17.9,13.1,4.93,19.0,0.76,0.89,2.51,-0.47,0.0,12.0,54.9666,41.0025,-0.2930926875853046,33.0,0.5102181665739512
219,MAGN,2024,768.5,99.7,153.0,79.9,113.5,101.2,30.0,6.5,35.0,76.4,592.4,54.3,93.0,3.68,913.2,688.6,47.3,-75.5,38.5,11174.0,430.5,355.0,683.2,7.15,2.69,61.1,19.9,10.4,7.0,11.6,8.7,5.39,14.3,0.56,0.63,2.32,-0.49,0.0,13.0,41.0025,28.6,-0.3602263226293199,54.9666,-0.2930926875853046
220,GEMA,2021,0.266,0.14,0.148,0.137,0.243,0.005,0.265,8.7,94.0,0.126,,,0.026,0.006,0.679,0.202,0.03,-0.01,999.0,1.49,1.49,1.49,0.18,91.8,177.5,117.2,55.6,51.5,17.8,67.8,20.2,10.9,5.63,5.61,8.52,10.0,-0.04,0.0,2.0,1085.913,879.45,-0.21087967470929206,772.8000000000001,0.34015610388931755
221,GEMA,2022,0.255,0.139,0.145,0.113,0.245,0.004,0.243,10.0,106.0,0.115,,,0.026,0.004,0.87,0.139,0.225,0.15,799.5,1.49,1.19,1.34,0.05,75.7,162.8,32.8,56.9,44.3,20.4,81.3,13.0,10.6,4.91,4.68,24.4,9.26,1.03,0.0,2.0,879.45,1066.1280000000002,0.19249196048592904,1085.913,-0.21087967470929206
223,MTSS,2022,534.1,107.2,224.4,32.6,190.6,112.5,62.8,14.6,210.0,235.6,191.3,114.4,63.2,45.8,1083.0,-9.37,759.3,422.3,235.6,1998.0,470.8,893.1,-174.6,16.3,31.4,-87.4,42.0,6.1,13.3,-347.6,3.0,14.5,7.5,0.88,-2.7,3.98,1.88,0.0,21.0,269.9976,283.5385,0.04893484634664255,342.74670000000003,-0.23857862031734223
224,MTSS,2023,606.0,122.8,234.2,54.6,163.0,101.5,39.7,14.1,126.0,131.5,215.6,111.4,78.8,46.3,1292.0,-5.1,921.9,471.5,248.5,1998.0,496.5,968.0,-224.3,27.3,19.9,-112.3,38.7,9.0,8.0,-1069.6,4.2,9.1,12.5,0.82,-2.21,4.13,2.01,0.0,17.0,283.5385,244.0197,-0.15009895667761516,269.9976,0.04893484634664255
